38 67
Akka 334 84
Haifa 303 143
Tantorah 278 212
khedira 271 265 
Natania 264 299
Hartselya 243 398
Yafa 223 472
Alled 228 548
Alramlah 223 575
Ashdod 165 620
Majdal 132 662
Beithanoon 111 684
Gaza 90 714
Khanyonus 61 748
Rafah 60 772
Safad 474 28
Naserah 444 172
Afolah 403 224
Jenin 400 272
Tulkarm 343 317
Nablus 372 350
Qalqelya 336 380
Salfeet 385 442
Birzeit 388 525
Ramallah 395 571
Jerusalem 400 623
Beitlahem 392 650
Hebron 336 730
Thaherya 320 745
Fajolah 263 654
Beitjebreen 288 695
Tabareya 483 150
Bisan 493 234
Bardala 494 284
Jeftlk 478 407
Fasayel 488 500
Alojah 488 547
Jericho 457 585
Akka Safad 40 
Akka Naserah 33
Akka Haifa 15 
Safad Naserah 24 
Safad Tabareya 20  
Haifa Naserah 32
Haifa Tantorah 24
Tabareya Naserah 24
Tabareya Afolah 40
Naserah Afolah 12
Naserah Bisan 29
Bisan Tabareya 33
Bisan Afolah 23
Bisan Bardala 12
Jenin Bisan 19
Jenin Nablus 27
Jenin Afolah 17
Jenin Tulkarm 31
Jenin Bardala 19
Nablus Bardala 27
Nablus Tulkarm 40
Nablus Qalqelya 27 
Nablus Salfeet 15
Nablus Jeftlk 29
Tulkarm Qalqelya 14 
Tulkarm Natania 16 
Tulkarm khedira 17
khedira Natania 14 
khedira Tantorah 20
khedira Afolah 40
Natania Hartselya 16 
Yafa Hartselya 12  
Yafa Alled 23
Alramlah Alled 4
Alramlah Ashdod 25
Alramlah Jerusalem 37 
Alramlah Fajolah 26
Ramallah Jerusalem 16
Ramallah Birzeit 8 
Ramallah Jericho 24
Ramallah Alled 29
Jericho Alojah 10
Jericho Jerusalem 24 
Jerusalem Beitlahem 9 
Beitlahem Hebron 22
Beitlahem Beitjebreen 30 
Beitlahem Fajolah 34
Hebron Beitjebreen 21
Hebron Thaherya 18
Ashdod Majdal 16   
Beithanoon Majdal 8
Gaza Beithanoon 9
Gaza Khanyonus 24
Gaza Rafah 35
Khanyonus Rafah 10
Ashdod Fajolah 28 
Qalqelya Hartselya 14 
Qalqelya Salfeet 22
Salfeet Birzeit 13
Salfeet Jeftlk 34
Salfeet Fasayel 32
Majdal Beitjebreen 28 
Alojah Fasayel 9
Fasayel Jeftlk 18
Jeftlk Bardala 30
Tantorah Afolah 32
Majdal Fajolah 25
Fajolah Beitjebreen 14
